factor,category,risk_multiplier,specific_side_effects,recommendations
age>=65,geriatric,2.5,"['GI bleeding', 'Acute kidney injury', 'Cardiovascular events']",Use lowest effective dose for shortest duration. Consider PPI co-therapy.
age>=75,very_elderly,3.5,"['GI bleeding', 'Acute kidney injury', 'Falls', 'Cognitive effects']",Avoid if possible. If necessary use lowest dose with PPI.
age<12,pediatric,1.2,['Reye syndrome (with viral illness)'],Do not use with chickenpox or flu. Weight-based dosing required.
sex=female,female,1.1,['Fluid retention'],Monitor for edema
pregnant_trimester=3,pregnancy_t3,999.0,"['Premature ductus closure', 'Oligohydramnios']",CONTRAINDICATED after 30 weeks gestation
pregnant_trimester=1,pregnancy_t1,1.5,['Miscarriage risk (controversial)'],Use only if clearly needed
pregnant_trimester=2,pregnancy_t2,1.3,['Fetal kidney effects'],Use only if clearly needed
breastfeeding=true,lactation,1.1,['Minimal infant exposure'],Generally considered compatible
smoker=true,smoker,1.4,['GI bleeding'],Increased mucosal damage risk
alcohol_use=heavy,alcohol,2.0,"['GI bleeding', 'Liver toxicity']",Avoid concurrent use
renal_function=mild_impairment,ckd_mild,1.5,['Acute kidney injury'],Monitor creatinine. Avoid dehydration.
renal_function=moderate_impairment,ckd_moderate,2.5,['Acute kidney injury'],Use with extreme caution. Consider alternatives.
history_gi_bleed=true,gi_history,3.0,['GI bleeding'],Co-prescribe PPI. Consider alternative analgesic.
on_anticoagulant=true,anticoag,3.5,['Bleeding'],Avoid if possible. If necessary monitor closely.
on_aspirin=true,aspirin_user,2.0,"['GI bleeding', 'Reduced cardioprotection']",Take ibuprofen 30min after or 8hr before aspirin.
cardiovascular_disease=true,cvd,1.8,"['MI', 'Stroke', 'Heart failure']",Use lowest dose for shortest time. Consider alternatives.
hypertension=true,htn,1.4,"['BP elevation', 'Reduced antihypertensive effect']",Monitor BP. May need antihypertensive adjustment.
